Record_ID,State,District,Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare,Rainfall_mm,Temperature_C,Humidity_Percentage,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Farmer_Category,Organic_Farming,Labor_Count,Market_Price_per_Tonne,Production_Cost,Revenue,Profit,Crop_Quality,Region
1,Telangana,Hyderabad,2018,Rabi,Potato,123.2,1817.2,14.75,2247.9,29.1,67.2,Black,Canal,6544.06,438.5,Medium,No,12,1135.62,6588276.64,2063648.66,-4524627.98,Average,South
2,Odisha,Bhubaneswar,2020,Rabi,Potato,170.79,4495.19,26.32,1076.1,13.2,27.7,Alluvial,Tube Well,13156.45,252.42,Small,Yes,4,956.8,10052561.74,4300997.79,-5751563.95,Average,East
3,Rajasthan,Bikaner,2021,Rabi,Potato,23.87,423.93,17.76,331.4,18.1,28.1,Alluvial,Rain-fed,3079.13,119.66,Small,No,3,1361.46,1444288.48,577163.74,-867124.74,Good,North
4,Telangana,Warangal,2021,Rabi,Maize,190.35,925.1,4.86,1715.2,34.0,87.4,Black,Drip,29514.22,1876.0,Small,Yes,5,2032.02,5172978.5,1879821.7,-3293156.8,Excellent,South
5,Assam,Jorhat,2020,Whole Year,Sugarcane,124.07,8111.7,65.38,1795.3,41.4,52.0,Red,Drip,13813.17,248.14,Small,Yes,2,407.5,7759475.3,3305517.75,-4453957.55,Average,Northeast
6,Karnataka,Mangaluru,2022,Kharif,Jowar,340.46,612.83,1.8,2277.5,36.9,47.2,Alluvial,Rain-fed,21156.89,352.61,Medium,No,12,2033.37,5133053.03,1246110.14,-3886942.89,Excellent,South
7,Telangana,Nizamabad,2021,Rabi,Maize,381.49,1823.52,4.78,1638.0,10.0,45.9,Black,Canal,64881.46,4068.95,Medium,No,4,1444.52,9896994.01,2634111.11,-7262882.9,Excellent,South
8,West Bengal,Siliguri,2019,Rabi,Onion,65.07,1236.98,19.01,868.7,40.5,53.9,Red,Tube Well,9483.11,558.86,Medium,No,9,1469.53,3119416.5,1817779.22,-1301637.28,Excellent,East
9,Madhya Pradesh,Indore,2023,Kharif,Rice,294.63,945.76,3.21,270.7,12.4,22.5,Alluvial,Canal,32993.21,1197.16,Small,No,5,1903.35,8797635.55,1800112.3,-6997523.25,Good,Central
10,Gujarat,Surat,2019,Rabi,Wheat,177.79,776.94,4.37,257.1,32.9,71.7,Black,Rain-fed,25237.27,1743.5,Small,No,5,2069.17,4905914.06,1607620.94,-3298293.12,Excellent,West
11,Madhya Pradesh,Indore,2025,Rabi,Onion,26.24,689.85,26.29,2910.1,42.4,87.9,Red,Rain-fed,2833.65,87.94,Small,Yes,4,1018.43,1526195.86,702563.94,-823631.92,Good,Central
12,Maharashtra,Aurangabad,2025,Kharif,Maize,149.06,684.19,4.59,1672.4,36.2,24.6,Sandy,Rain-fed,16456.08,1547.23,Small,No,1,1810.81,2826073.06,1238938.09,-1587134.97,Excellent,West
13,Odisha,Cuttack,2024,Rabi,Wheat,289.88,672.52,2.32,2006.4,29.8,45.3,Alluvial,Drip,38774.82,1291.71,Small,Yes,3,2563.46,10680111.79,1723978.12,-8956133.67,Excellent,East
14,Andhra Pradesh,Kurnool,2019,Rabi,Wheat,253.44,745.11,2.94,299.5,18.5,42.8,Laterite,Tube Well,35100.32,1958.7,Large,No,10,2200.72,7598851.24,1639778.48,-5959072.76,Poor,South
